Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Recommended For,Recommended By,Owned Copies,Original Purchase Date,Original Purchase Location,Condition,Condition Description,BCID
29580,Second Foundation (Foundation #3),Isaac Asimov,"Asimov, Isaac",,"=""0553803735""","=""9780553803730""",5,4.25,Bantam Spectra,Hardcover,256,2004,1953,,2021/01/01,,,read,,,,1,,,0,,,,,
29581,Foundation and Empire (Foundation #2),Isaac Asimov,"Asimov, Isaac",,"=""0553803727""","=""9780553803723""",5,4.21,Spectra Books,Hardcover,244,2004,1952,,2021/01/01,,,read,,,,1,,,0,,,,,
36045215,Jane Austen: Seven Novels,Jane Austen,"Austen, Jane",,"=""""","=""""",5,4.57,OBG Classics,Kindle Edition,2398,2017,1813,,2021/01/01,,,read,,,,1,,,0,,,,,
36116851,The Merchant of Venice,William Shakespeare,"Shakespeare, William",,"=""""","=""""",4,3.79,AmazonClassics,Kindle Edition,140,2017,1596,,2021/01/01,,,read,,,,1,,,0,,,,,
33220026,Prema (Hindi),Munshi Premchand,"Premchand, Munshi",,"=""""","=""""",4,4.02,Public Domain Books,Kindle Edition,172,,2014,,2021/01/01,,,read,,,,1,,,0,,,,,
40736878,David Copperfield,Charles Dickens,"Dickens, Charles",,"=""8175994282""","=""9788175994287""",0,4.01,Fingerprint Publishing,Paperback,924,2017,1849,,2021/01/01,to-read,to-read (#56),to-read,,,,0,,,0,,,,,
433567,Flatland: A Romance of Many Dimensions,Edwin A. Abbott,"Abbott, Edwin A.","Banesh Hoffmann, Masolino D'Amico, Giorgio Manganelli","=""048627263X""","=""9780486272634""",0,3.81,"Dover Publications, Inc.",Paperback,96,1992,1884,,2021/01/01,to-read,to-read (#55),to-read,,,,0,,,0,,,,,
11063358,Murder on the Orient Express,Agatha Christie,"Christie, Agatha",,"=""""","=""""",0,4.18,HarperCollins,Kindle Edition,289,2010,1934,,2021/01/01,to-read,to-read (#54),to-read,,,,0,,,0,,,,,
22823333,"The Eleventh Metal (Mistborn, #0.5)",Brandon Sanderson,"Sanderson, Brandon",,"=""""","=""""",0,3.85,Crafty Games,ebook,21,2012,2012,,2020/08/21,to-read,to-read (#53),to-read,,,,1,,,0,,,,,
386372,"Mort (Discworld, #4; Death, #1)",Terry Pratchett,"Pratchett, Terry",,"=""0061020680""","=""9780061020681""",5,4.20,Harpertorch,Mass Market Paperback,243,2001,1987,2020/12/01,2020/11/27,,,read,,,,1,,,0,,,,,
26114421,"The Dark Talent (Alcatraz, #5)",Brandon Sanderson,"Sanderson, Brandon",,"=""0765381400""","=""9780765381408""",5,4.10,Starscape,Hardcover,281,2016,2016,2020/11/25,2020/11/25,,,read,,,,1,,,0,,,,,
7740659,"Alcatraz Versus the Shattered Lens (Alcatraz, #4)",Brandon Sanderson,"Sanderson, Brandon",,"=""0439925576""","=""9780439925570""",4,4.13,Scholastic Press,Hardcover,294,2010,2010,2020/11/25,2020/11/24,,,read,,,,1,,,0,,,,,
53439886,"How the King of Elfhame Learned to Hate Stories (The Folk of the Air, #3.5)",Holly Black,"Black, Holly",,"=""""","=""9780316540827""",4,4.25,"Little, Brown Books for Young Readers",ebook,200,2020,2020,2020/11/25,2020/11/05,,,read,,,,1,,,0,,,,,
6366110,"Alcatraz Versus the Knights of Crystallia (Alcatraz, #3)",Brandon Sanderson,"Sanderson, Brandon",,"=""043992555X""","=""9780439925556""",4,4.12,Scholastic Press,Hardcover,299,2009,2009,2020/11/24,2020/11/23,,,read,,,,1,,,0,,,,,
3485562,"Alcatraz Versus the Scrivener's Bones (Alcatraz, #2)",Brandon Sanderson,"Sanderson, Brandon",,"=""0439925533""","=""9780439925532""",5,4.13,Scholastic Press,Hardcover,322,2008,2008,2020/11/23,2020/11/16,,,read,,,,1,,,0,,,,,
17250966,"Rhythm of War (The Stormlight Archive, #4)",Brandon Sanderson,"Sanderson, Brandon",,"=""""","=""""",5,4.62,Tor Books,Kindle Edition,1270,2020,2020,2020/11/21,2020/05/25,,,read,,,,1,,,0,,,,,
623976,"Alcatraz Versus the Evil Librarians (Alcatraz, #1)",Brandon Sanderson,"Sanderson, Brandon",,"=""0439925509""","=""9780439925501""",4,3.90,Scholastic Press,Hardcover,308,2007,2007,2020/11/16,2020/11/16,,,read,,,,1,,,0,,,,,
54511226,"Dawnshard (The Stormlight Archive, #3.5)",Brandon Sanderson,"Sanderson, Brandon",,"=""""","=""""",5,4.54,Dragonsteel Entertainment,Kindle Edition,171,2020,2020,2020/11/10,2020/11/07,,,read,,,,1,,,0,,,,,
